Instructor,OfficeNumber,Email
Miller,205,miller@asu.edu
Chen,207,chen@asu.edu
Osburn,209,osburn@asu.edu
Xue,211,xue@asu.edu
Ren,213,ren@asu.edu
Burger,215,burger@asu.edu
Hsaio,217,hsaio@asu.edu
Lee,219,lee@asu.edu
Meuth,221,meuth@asu.edu
Baek,223,baek@asu.edu
Hansford,225,hansford@asu.edu
Wang,227,wang@asu.edu
Bao,229,bao@asu.edu
Chakati,231,chakati@asu.edu
Zhao,233,zhao@asu.edu
Tau,235,tau@asu.edu
Collofello,237,collofello@asu.edu
Thakur,239,thakur@asu.edu
Liang,241,liang@asu.edu
Jennings,243,jennings@asu.edu
Akbari,245,akbari@asu.edu
Loughman,247,loughman@asu.edu
Juarez,249,juarez@asu.edu
Pedrielli,251,pedrielli@asu.edu
Acuna,253,acuna@asu.edu
Gary,255,gary@asu.edu
Sandy,257,sandy@asu.edu
Bansal,259,bansal@asu.edu
Findler,261,findler@asu.edu
Ye,263,ye@asu.edu
